好き,p,1988,
楽しい,p,737,
大好き,p,600,
良い,p,421,
味,p,407,
健,p,315,
健康,p,299,
理,p,297,
嫌,n,292,
買う,p,274,
暑い,p,270,
美味しい,p,269,
ほんと,p,264,
難しい,n,263,
元気,p,255,
間,p,253,
花,p,247,
山,p,224,
偉い,p,214,
多,p,210,
真,p,203,
時,p,199,
寒い,n,184,
白,p,182,
楽,p,170,
苦,n,164,
長,p,163,
名,p,159,
困る,n,157,
便利,p,147,
大事,p,142,
買い物,p,137,
楽しみ,p,137,
若い,p,135,
甘い,p,128,
嫌い,n,124,
待つ,p,124,
病気,n,123,
犬,n,123,
遊ぶ,n,113,
悪,n,112,
得意,p,110,
頑張る,p,110,
怖い,n,108,
大丈夫,p,106,
特別,p,105,
覚え,p,103,
覚める,p,102,
夢,p,101,
女,p,99,
高い,p,96,
入れる,p,95,
奇麗,p,90,
降る,n,88,
綺麗,p,85,
幸,p,84,
男,p,80,
本当,p,79,
色,p,75,
思い,p,75,
大きい,n,72,
おかしい,p,72,
残念,n,68,
心配,n,68,
春,p,68,
留守,n,67,
駄目,n,65,
空,n,65,
興,p,62,
助かる,p,61,
暖かい,p,61,
当たる,p,60,
秋,p,60,
会う,p,59,
興味,p,58,
要,p,58,
歌う,p,57,
懸命,p,56,
上手,p,55,
生き,p,55,
大切,p,53,
神,p,53,
必要,p,51,
違う,n,51,
合う,p,51,
宝,p,51,
文,p,51,
グル,n,49,
活,p,49,
上がる,p,48,
病,n,48,
数,p,47,
利口,p,46,
楽しむ,p,45,
洗う,p,45,
分かる,p,44,
簡単,p,44,
面白い,p,43,
静か,p,42,
近い,p,41,
新しい,p,40,
欲しい,p,40,
愛,p,39,
忙しい,n,38,
雑,n,38,
丈夫,p,37,
重,p,37,
付き,p,37,
捨てる,n,37,
器用,p,35,
我,n,35,
寂,p,35,
寂しい,n,35,
面倒,n,35,
我慢,p,32,
泳ぐ,p,31,
華,p,31,
かわいそう,n,30,
流行る,p,30,
危ない,n,29,
主,p,27,
強い,p,25,
働く,n,25,
切れる,p,25,
熱中,p,24,
応,p,23,
大人,p,23,
正解,p,22,
温かい,p,22,
生きる,p,22,
曇る,n,22,
落ちる,n,22,
直す,p,22,
鏡,p,22,
値,p,22,
機会,p,22,
可愛い,p,21,
喜ぶ,p,21,
絶対,p,21,
焼く,n,20,
初,p,20,
問題,n,20,
柔軟,p,19,
売る,n,19,
本物,p,19,
科,n,19,
下手,n,18,
素敵,p,18,
敵,n,18,
応援,p,18,
安心,p,18,
嬉しい,p,18,
苦しい,n,18,
新鮮,p,18,
実,p,18,
黒,n,17,
名物,p,17,
験,p,17,
有名,p,17,
負ける,n,17,
シック,p,16,
明るい,p,16,
失敗,n,16,
恥ずかしい,p,16,
お宝,p,16,
頃,p,15,
飽き,n,15,
null,n,15,
立派,p,14,
世話,n,14,
迷惑,n,14,
悲しい,n,14,
辛い,n,14,
立つ,p,13,
越す,p,13,
凝る,p,13,
話せる,p,13,
ぼる,n,13,
つまらない,n,13,
消化,p,13,
地下,n,13,
臭い,n,12,
回る,p,12,
頼む,p,12,
好奇,p,12,
重い,p,12,
珍しい,p,11,
スマート,p,11,
正直,p,11,
怪我,n,11,
感心,p,11,
努力,p,10,
当たり,p,10,
アジ,n,10,
願う,p,10,
褒める,p,10,
揚げる,p,10,
勝つ,p,10,
大根,p,10,
懐かしい,p,10,
名人,p,10,
趣味,p,9,
通る,p,9,
頼り,p,9,
人材,p,9,
崩れ,n,9,
嫌う,n,9,
勤める,p,9,
不安,n,8,
怒る,n,8,
目玉,p,8,
悩む,n,8,
手抜き,n,8,
開ける,p,8,
確か,p,8,
祝い,p,8,
緊張,n,8,
特技,p,8,
細かい,p,8,
掛ける,p,7,
鬱,n,7,
固まる,p,7,
落ち着く,p,7,
押す,p,7,
焼ける,n,7,
答える,n,7,
奥深い,p,7,
汚い,n,6,
自信,p,6,
適当,p,6,
金持ち,p,6,
感謝,p,6,
鬼,p,6,
重たい,n,6,
不調,n,6,
殺す,n,6,
意見,n,6,
大嫌い,n,6,
だるい,n,6,
価,p,6,
おめでとう,p,6,
素晴らしい,p,6,
嫌がる,n,6,
注意,n,6,
笑い,n,6,
笑う,p,6,
起こる,p,6,
命,p,6,
勝手,p,6,
飾る,n,5,
吉,p,5,
感激,p,5,
憂鬱,n,5,
好物,p,5,
開発,p,5,
うい,p,5,
聞こえる,p,5,
不足,n,5,
関心,p,5,
寝苦しい,n,5,
正しい,p,4,
効,p,4,
羨ましい,p,4,
訳,p,4,
爽やか,p,4,
旺盛,p,4,
澄む,p,4,
片付ける,p,4,
鳴く,n,4,
助ける,p,4,
鍵,p,4,
優しい,p,4,
並ぶ,p,4,
硬い,p,4,
見事,p,4,
ご馳走,p,4,
御馳走,p,4,
喧嘩,n,4,
財,p,4,
殺人,n,4,
潮,p,4,
流れる,p,4,
丁寧,p,4,
倒れ,n,4,
反対,n,4,
下る,n,3,
頼る,p,3,
捌く,p,3,
規則正しい,p,3,
壺,p,3,
誠,p,3,
弱る,n,3,
