私もおしーてほしいですー，難しいのでー,私/おし/ー/ー/難しい/ー,null,難しい,n,ー/難しい,null,
null,null,null,null,null,ー/難しい,null,
null,null,null,null,null,難しい/ー,null,
ええ、言葉は知っていますけど、説明が下手です,ええ/言葉/知る/説明/下手,null,下手,n,説明/下手,null,
null,null,null,null,null,知る/下手,null,
いいですよー，家庭菜園をしたり，お花を作って楽しんでまーす,いい/家庭/菜園/する/花/作る/楽しむ/ー/する,null,花,p,する/花,null,
null,null,null,null,null,菜園/花,null,
null,null,null,null,null,花/作る,null,
null,null,null,null,null,花/楽しむ,null,
null,null,null,楽しむ,p,作る/楽しむ,null,
null,null,null,null,null,花/楽しむ,null,
null,null,null,null,null,楽しむ/ー,null,
null,null,null,null,null,楽しむ/する,null,
あたしもタバコは嫌いです、においも嫌いです,あたし/タバコ/嫌い/におい/嫌い,n,嫌,n,タバコ/嫌い,-0.3,
null,null,null,null,null,あたし/嫌い,-0.1,
null,null,null,null,null,嫌い/におい,-0.3,
null,null,null,嫌い,n,タバコ/嫌い,-0.3,
null,null,null,null,null,あたし/嫌い,-0.1,
null,null,null,null,null,嫌い/におい,-0.3,
null,null,null,嫌,n,におい/嫌い,-0.3,
null,null,null,null,null,嫌い/嫌い,-0.1,
null,null,null,嫌い,n,におい/嫌い,-0.3,
null,null,null,null,null,嫌い/嫌い,-0.1,
ほんと一番いいですね，健康にね,ほんと/一番/いい/健康,null,ほんと,p,ほんと/一番,null,
null,null,null,null,null,ほんと/いい,null,
null,null,null,健,p,いい/健康,null,
null,null,null,null,null,一番/健康,null,
null,null,null,健康,p,いい/健康,null,
null,null,null,null,null,一番/健康,null,
そ、女の人でも男の人でも、おしゃれをした方がいいと、綺麗にするのはいいと思います、やっぱり歳をとると汚くなるから,女/人/男/人/おしゃれ/する/いい/綺麗/する/いい/思う/歳/とる/汚い/なる,p,女,p,女/人,0.3,
null,null,null,null,null,女/男,0.1,
null,null,null,男,p,人/男,0.3,
null,null,null,null,null,女/男,0.1,
null,null,null,null,null,男/人,0.3,
null,null,null,null,null,男/おしゃれ,0.1,
null,null,null,綺麗,p,いい/綺麗,0.3,
null,null,null,null,null,する/綺麗,0.1,
null,null,null,null,null,綺麗/する,0.3,
null,null,null,null,null,綺麗/いい,0.1,
null,null,null,汚い,n,とる/汚い,0.3,
null,null,null,null,null,歳/汚い,0.1,
null,null,null,null,null,汚い/なる,0.3,
ほんとに行ってますよ。今回は中東なんかに行ったから大騒ぎになってます。税金で外国ばっかり行かれて、ほんとに庶民は困りますね。,行く/今回/中東/行く/大騒ぎ/なる/税金/外国/行く/れる/庶民/困る,null,困る,n,庶民/困る,null,
null,null,null,null,null,れる/困る,null,
そうそう，私も旅行なんか行くと全然眠れなくなっちゃうの．何か良い方法教えてくださーい．,私/旅行/行く/眠れる#ない/なる/ちゃう/何/良い/方法/教える/ー/い,null,良い,p,何/良い,null,
null,null,null,null,null,ちゃう/良い,null,
null,null,null,null,null,良い/方法,null,
null,null,null,null,null,良い/教える,null,
北海道もいいですね。食べ物もおいしいし、冬は寒いから駄目だけど、夏の北海道はいいみたいですよ。広いから何度も行かないと。,北海道/食べ物/おいしい/冬/寒い/駄目/夏/北海道/いい/広い/何/行く#ない,null,寒い,n,冬/寒い,null,
null,null,null,null,null,おいしい/寒い,null,
null,null,null,null,null,寒い/駄目,null,
null,null,null,null,null,寒い/夏,null,
null,null,null,駄目,n,寒い/駄目,null,
null,null,null,null,null,冬/駄目,null,
null,null,null,null,null,駄目/夏,null,
null,null,null,null,null,駄目/北海道,null,
だいたい，自分のおうちで洗ってます,自分/うち/洗う,null,洗う,p,うち/洗う,null,
null,null,null,null,null,自分/洗う,null,
こんにちは。お買い物行ってきました。ただいま。帰ってきました。,こんにちは/買い物/行く/ただいま/帰る,null,買い物,p,こんにちは/買い物,null,
null,null,null,null,null,買い物/行く,null,
null,null,null,null,null,買い物/ただいま,null,
私は全然おしゃれに興味なかったですよ,私/おしゃれ/興味/ない,null,興,p,おしゃれ/興味,null,
null,null,null,null,null,私/興味,null,
null,null,null,null,null,興味/ない,null,
null,null,null,興味,p,おしゃれ/興味,null,
null,null,null,null,null,私/興味,null,
null,null,null,null,null,興味/ない,null,
うちも一緒です。うちも2人お嫁さんいるけど、どちらもいいお嫁さんで幸せです。,うち/一緒/うち/2/嫁さん/いる/どちら/嫁さん/幸せ,null,幸,p,嫁さん/幸せ,null,
null,null,null,null,null,どちら/幸せ,null,
はい。日本が大好きです。日本に生まれて良かったな。中東などは毎日戦争してるニュースを聞くと、ほんとにかわいそうで。,はい/日本/大好き/日本/生まれる/中東/毎日/戦争/する/ニュース/聞く/かわいそう,null,好き,p,日本/大好き,null,
null,null,null,null,null,はい/大好き,null,
null,null,null,null,null,大好き/日本,null,
null,null,null,null,null,大好き/生まれる,null,
