すごい/上手,0.1,null,
上手/なる,0.3,null,
そうですね/便利,0.70000005,null,
便利/世の中,0.6,null,
便利/なる,1.3,null,
健康/診断,0.6,null,
おいしい/甘い,2.5999997,null,
甘い/おいしい,1.3000001,null,
私/苦手,-1.4000001,null,
泳げる/楽しい,-0.4,null,
こんにちは/待つ,0.3,null,
待つ/せる,-0.3,null,
待つ/する,0.0,null,
する/頑張る,0.4,null,
そうですね/この間,-0.3,null,
する/美味しい,5.2000003,null,
ご飯/美味しい,1.8,null,
美味しい/大好き,9.600003,null,
美味しい/ご飯,1.5999999,null,
そうですね/好き,0.3,null,
近い/する,0.1,null,
今/高い,-0.3,null,
雨/降る,-3.4999998,null,
そうですね/健康,2.7999997,null,
健康/いい,7.000001,null,
いい/健康,4.6,null,
健康/ない,0.6,null,
健康/一,0.6,null,
元気/歩く,0.6,null,
健康/健康,5.9999986,null,
健康/何,1.8,null,
何/健康,0.2,null,
健康/元気,1.8,null,
元気/運動,0.3,null,
健康/いい,7.000001,null,
いい/病気,0.70000005,null,
病気/なる,0.90000004,null,
なる/困る,-0.3,null,
それ/健康,1.2,null,
健康/病気,1.8,null,
病気/困る,0.2,null,
さま/健康,0.6,null,
健康/診断,0.6,null,
おかげ/健康,0.2,null,
健康/行く,0.2,null,
なくなる/寂しい,-0.6,null,
頼り/なる,0.3,null,
楽しい/楽しい,1.4000001,null,
明日/心配,-0.3,Ex,
心配/事,0.3,Ex,
